label	医院_事件原因分析描述
无法确定	薄膜按键板失灵导致无法开机
产品原因（包括说明书等）	机器故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	有剩余液体设备就报警完成注射
产品原因（包括说明书等）	注射泵滑脱不能使用
无法确定	null
产品原因（包括说明书等）	不确定
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为产品自身原因
产品原因（包括说明书等）	主板系统故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	怀疑设备系统故障或主板故障发厂家维修
产品原因（包括说明书等）	null
产品原因（包括说明书等）	使用该设备注射泵报警显示堵塞经工程师现场对设备进行检修经排查发现该设备传感器接触异常导致该设备故障发生经清洁校准后故障排除设备运行正常
产品原因（包括说明书等）	注射泵堵塞报警
无法确定	null
产品原因（包括说明书等）	注射器传感器故障
产品原因（包括说明书等）	注射泵老化杆卡涩失灵
产品原因（包括说明书等）	设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生
无法确定	原因不明无法确定
操作原因	null
无法确定	可能是塑料老化
产品原因（包括说明书等）	null
无法确定	null
无法确定	接到报修后亲自开机观察无交流显示交流部分出故障机器一直用的是直流电源电池快耗尽所以显示电压低机器无法工作
产品原因（包括说明书等）	经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用
产品原因（包括说明书等）	输液泵剂量校准故障
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）,操作原因,无法确定	null
产品原因（包括说明书等）	分析产品质量问题设备用一年多厂家说喇叭寿命耗尽
产品原因（包括说明书等）	固定注射器推杆的夹子断裂机器无法工作
无法确定	null
产品原因（包括说明书等）	注射泵推注杆前端夹子断裂
产品原因（包括说明书等）,操作原因	1注射泵故障错误识别注射器规格2操作规程要求使用前核对注射器是否识别正确若护士不能及时发现存在很大安全隐患
无法确定	夹子为塑料材质且需经常按压导致夹子根部开裂
产品原因（包括说明书等）	压力传感器原因导致频繁报警
产品原因（包括说明书等）	注射泵扬声器故障
产品原因（包括说明书等）	原因不明
产品原因（包括说明书等）	产品泵入问题影响患者治疗
产品原因（包括说明书等）	经工程师现场维修判定该设备电源线损坏导致了设备无法通电使用
产品原因（包括说明书等）	仪器压力传感器问题
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	设备异常
产品原因（包括说明书等）,操作原因	注射泵没有防水功能护士在使用时误将生理盐水撒至设备表面后液体进入器械内部结晶导致流量不准确
产品原因（包括说明书等）	背后夹子掉了
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	显示屏质量问题
产品原因（包括说明书等）	压力传感器偶发故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	产品原因
无法确定	null
产品原因（包括说明书等）,无法确定	设备离合故障
产品原因（包括说明书等）	注射泵开关失灵频繁报警不能正常工作更换一台输液泵后正常使用无不良后果
产品原因（包括说明书等）	输液器固定夹断裂
产品原因（包括说明书等）	推杆坏
无法确定	疑似设备故障
产品原因（包括说明书等）	可能为产品本身机械零件问题或软件bug
产品原因（包括说明书等）	应用威高注射泵给予泵入左西孟旦改善心功能设置泵速时复位键按压无效不能调整泵速考虑复位键损坏
产品原因（包括说明书等）	本院工程师在接到消息后对注射泵进行排查发现电源线N端零线端无反应定为电源线故障导致
产品原因（包括说明书等）	经工程师检查发现注射泵通道内部排线断裂
无法确定	null
产品原因（包括说明书等）	注射泵在泵注过程中频繁报警注射泵故障
无法确定	和设备使用期限有关
产品原因（包括说明书等）	null
产品原因（包括说明书等）	产品质量问题设计缺陷
无法确定	null
